trajectory_id,participant_id,sample_index,x,y,time,start_x,start_y,target_x,target_y,canvas_width,canvas_height,sample_interval_ms,session_id,source_type,bot_seed,planned_duration_s,control_x,control_y,noise_amplitude_px,generator_version
b5d131c1,P06,0,296,188,0.0,290,190,578,161,906,606,5,session_11,bot_smart_jerk,2973055494,1.0,444.5605181952642,253.46541226164828,0.0,bots_v1
b5d131c1,P06,1,296,188,0.0012852919971919619,290,190,578,161,906,606,5,session_11,bot_smart_jerk,2973055494,1.0,444.5605181952642,253.46541226164828,0.0,bots_v1
b5d131c1,P06,2,296,188,0.007490916999813635,290,190,578,161,906,606,5,session_11,bot_smart_jerk,2973055494,1.0,444.5605181952642,253.46541226164828,0.0,bots_v1
b5d131c1,P06,3,296,188,0.013269499999296386,290,190,578,161,906,606,5,session_11,bot_smart_jerk,2973055494,1.0,444.5605181952642,253.46541226164828,0.0,bots_v1
b5d131c1,P06,4,296,188,0.01901887499843724,290,190,578,161,906,606,5,session_11,bot_smart_jerk,2973055494,1.0,444.5605181952642,253.46541226164828,0.0,bots_v1
b5d131c1,P06,5,296,188,0.024759541993262246,290,190,578,161,906,606,5,session_11,bot_smart_jerk,2973055494,1.0,444.5605181952642,253.46541226164828,0.0,bots_v1
b5d131c1,P06,6,296,188,0.030496833998768125,290,190,578,161,906,606,5,session_11,bot_smart_jerk,2973055494,1.0,444.5605181952642,253.46541226164828,0.0,bots_v1
b5d131c1,P06,7,296,188,0.03622779199940851,290,190,578,161,906,606,5,session_11,bot_smart_jerk,2973055494,1.0,444.5605181952642,253.46541226164828,0.0,bots_v1
b5d131c1,P06,8,296,188,0.04197520899469964,290,190,578,161,906,606,5,session_11,bot_smart_jerk,2973055494,1.0,444.5605181952642,253.46541226164828,0.0,bots_v1
b5d131c1,P06,9,296,188,0.04773266699339729,290,190,578,161,906,606,5,session_11,bot_smart_jerk,2973055494,1.0,444.5605181952642,253.46541226164828,0.0,bots_v1
b5d131c1,P06,10,296,188,0.053478249996260274,290,190,578,161,906,606,5,session_11,bot_smart_jerk,2973055494,1.0,444.5605181952642,253.46541226164828,0.0,bots_v1
b5d131c1,P06,11,297,188,0.059232041996438056,290,190,578,161,906,606,5,session_11,bot_smart_jerk,2973055494,1.0,444.5605181952642,253.46541226164828,0.0,bots_v1
b5d131c1,P06,12,297,188,0.0665807089972077,290,190,578,161,906,606,5,session_11,bot_smart_jerk,2973055494,1.0,444.5605181952642,253.46541226164828,0.0,bots_v1
b5d131c1,P06,13,297,188,0.0723634169989964,290,190,578,161,906,606,5,session_11,bot_smart_jerk,2973055494,1.0,444.5605181952642,253.46541226164828,0.0,bots_v1
b5d131c1,P06,14,297,189,0.0781197499964037,290,190,578,161,906,606,5,session_11,bot_smart_jerk,2973055494,1.0,444.5605181952642,253.46541226164828,0.0,bots_v1
b5d131c1,P06,15,298,189,0.08558841699414188,290,190,578,161,906,606,5,session_11,bot_smart_jerk,2973055494,1.0,444.5605181952642,253.46541226164828,0.0,bots_v1
b5d131c1,P06,16,298,189,0.09410499999648891,290,190,578,161,906,606,5,session_11,bot_smart_jerk,2973055494,1.0,444.5605181952642,253.46541226164828,0.0,bots_v1
b5d131c1,P06,17,299,189,0.09985841699381126,290,190,578,161,906,606,5,session_11,bot_smart_jerk,2973055494,1.0,444.5605181952642,253.46541226164828,0.0,bots_v1
