sample_index,time,x,y,session_id,participant_id,source_type,start_x,start_y,target_x,target_y,sample_interval_ms,bot_seed,planned_duration_s,control_x,control_y,noise_amplitude_px,generator_version
0,0.0,393,353,session_14,P10,bot_adversarial,393,353,820,447,5,43370,1.0,575.5971947398193,540.3776366606079,0.0,bots_v1
1,0.004876,393,353,session_14,P10,bot_adversarial,393,353,820,447,5,43370,1.0,575.5971947398193,540.3776366606079,0.0,bots_v1
2,0.009636,394,354,session_14,P10,bot_adversarial,393,353,820,447,5,43370,1.0,575.5971947398193,540.3776366606079,0.0,bots_v1
3,0.014441,394,354,session_14,P10,bot_adversarial,393,353,820,447,5,43370,1.0,575.5971947398193,540.3776366606079,0.0,bots_v1
4,0.019282,394,354,session_14,P10,bot_adversarial,393,353,820,447,5,43370,1.0,575.5971947398193,540.3776366606079,0.0,bots_v1
5,0.02416,395,355,session_14,P10,bot_adversarial,393,353,820,447,5,43370,1.0,575.5971947398193,540.3776366606079,0.0,bots_v1
6,0.029038,395,355,session_14,P10,bot_adversarial,393,353,820,447,5,43370,1.0,575.5971947398193,540.3776366606079,0.0,bots_v1
7,0.034221,395,355,session_14,P10,bot_adversarial,393,353,820,447,5,43370,1.0,575.5971947398193,540.3776366606079,0.0,bots_v1
8,0.0392,396,356,session_14,P10,bot_adversarial,393,353,820,447,5,43370,1.0,575.5971947398193,540.3776366606079,0.0,bots_v1
9,0.044496,396,356,session_14,P10,bot_adversarial,393,353,820,447,5,43370,1.0,575.5971947398193,540.3776366606079,0.0,bots_v1
10,0.049287,396,356,session_14,P10,bot_adversarial,393,353,820,447,5,43370,1.0,575.5971947398193,540.3776366606079,0.0,bots_v1
11,0.05429,397,357,session_14,P10,bot_adversarial,393,353,820,447,5,43370,1.0,575.5971947398193,540.3776366606079,0.0,bots_v1
12,0.059302,397,357,session_14,P10,bot_adversarial,393,353,820,447,5,43370,1.0,575.5971947398193,540.3776366606079,0.0,bots_v1
13,0.064022,397,357,session_14,P10,bot_adversarial,393,353,820,447,5,43370,1.0,575.5971947398193,540.3776366606079,0.0,bots_v1
14,0.069189,398,358,session_14,P10,bot_adversarial,393,353,820,447,5,43370,1.0,575.5971947398193,540.3776366606079,0.0,bots_v1
15,0.074163,398,358,session_14,P10,bot_adversarial,393,353,820,447,5,43370,1.0,575.5971947398193,540.3776366606079,0.0,bots_v1
16,0.079089,398,358,session_14,P10,bot_adversarial,393,353,820,447,5,43370,1.0,575.5971947398193,540.3776366606079,0.0,bots_v1
17,0.084068,399,359,session_14,P10,bot_adversarial,393,353,820,447,5,43370,1.0,575.5971947398193,540.3776366606079,0.0,bots_v1
18,0.089253,399,359,session_14,P10,bot_adversarial,393,353,820,447,5,43370,1.0,575.5971947398193,540.3776366606079,0.0,bots_v1
19,0.094101,399,359,session_14,P10,bot_adversarial,393,353,820,447,5,43370,1.0,575.5971947398193,540.3776366606079,0.0,bots_v1
20,0.099056,400,360,session_14,P10,bot_adversarial,393,353,820,447,5,43370,1.0,575.5971947398193,540.3776366606079,0.0,bots_v1
21,0.104094,400,360,session_14,P10,bot_adversarial,393,353,820,447,5,43370,1.0,575.5971947398193,540.3776366606079,0.0,bots_v1
22,0.109106,400,360,session_14,P10,bot_adversarial,393,353,820,447,5,43370,1.0,575.5971947398193,540.3776366606079,0.0,bots_v1
23,0.114218,401,361,session_14,P10,bot_adversarial,393,353,820,447,5,43370,1.0,575.5971947398193,540.3776366606079,0.0,bots_v1
24,0.119201,401,361,session_14,P10,bot_adversarial,393,353,820,447,5,43370,1.0,575.5971947398193,540.3776366606079,0.0,bots_v1
