sample_index,time,x,y,session_id,participant_id,source_type,start_x,start_y,target_x,target_y,sample_interval_ms,bot_seed,planned_duration_s,control_x,control_y,noise_amplitude_px,generator_version
0,0.0,196,536,session_14,P09,bot_adversarial,196,536,737,477,5,43233,1.0,446.3725440685008,321.94146340777843,0.0,bots_v1
1,0.005192,196,536,session_14,P09,bot_adversarial,196,536,737,477,5,43233,1.0,446.3725440685008,321.94146340777843,0.0,bots_v1
2,0.010151,197,535,session_14,P09,bot_adversarial,196,536,737,477,5,43233,1.0,446.3725440685008,321.94146340777843,0.0,bots_v1
3,0.015425,197,535,session_14,P09,bot_adversarial,196,536,737,477,5,43233,1.0,446.3725440685008,321.94146340777843,0.0,bots_v1
4,0.020569,198,534,session_14,P09,bot_adversarial,196,536,737,477,5,43233,1.0,446.3725440685008,321.94146340777843,0.0,bots_v1
5,0.025308,198,534,session_14,P09,bot_adversarial,196,536,737,477,5,43233,1.0,446.3725440685008,321.94146340777843,0.0,bots_v1
6,0.030199,199,534,session_14,P09,bot_adversarial,196,536,737,477,5,43233,1.0,446.3725440685008,321.94146340777843,0.0,bots_v1
7,0.035085,199,533,session_14,P09,bot_adversarial,196,536,737,477,5,43233,1.0,446.3725440685008,321.94146340777843,0.0,bots_v1
8,0.040102,200,533,session_14,P09,bot_adversarial,196,536,737,477,5,43233,1.0,446.3725440685008,321.94146340777843,0.0,bots_v1
9,0.044999,200,533,session_14,P09,bot_adversarial,196,536,737,477,5,43233,1.0,446.3725440685008,321.94146340777843,0.0,bots_v1
10,0.050079,201,532,session_14,P09,bot_adversarial,196,536,737,477,5,43233,1.0,446.3725440685008,321.94146340777843,0.0,bots_v1
11,0.055135,201,532,session_14,P09,bot_adversarial,196,536,737,477,5,43233,1.0,446.3725440685008,321.94146340777843,0.0,bots_v1
12,0.060298,201,531,session_14,P09,bot_adversarial,196,536,737,477,5,43233,1.0,446.3725440685008,321.94146340777843,0.0,bots_v1
13,0.065286,202,531,session_14,P09,bot_adversarial,196,536,737,477,5,43233,1.0,446.3725440685008,321.94146340777843,0.0,bots_v1
14,0.070199,202,531,session_14,P09,bot_adversarial,196,536,737,477,5,43233,1.0,446.3725440685008,321.94146340777843,0.0,bots_v1
15,0.075433,203,530,session_14,P09,bot_adversarial,196,536,737,477,5,43233,1.0,446.3725440685008,321.94146340777843,0.0,bots_v1
16,0.080172,203,530,session_14,P09,bot_adversarial,196,536,737,477,5,43233,1.0,446.3725440685008,321.94146340777843,0.0,bots_v1
17,0.08525,204,529,session_14,P09,bot_adversarial,196,536,737,477,5,43233,1.0,446.3725440685008,321.94146340777843,0.0,bots_v1
18,0.090335,204,529,session_14,P09,bot_adversarial,196,536,737,477,5,43233,1.0,446.3725440685008,321.94146340777843,0.0,bots_v1
19,0.095269,205,529,session_14,P09,bot_adversarial,196,536,737,477,5,43233,1.0,446.3725440685008,321.94146340777843,0.0,bots_v1
20,0.100138,205,528,session_14,P09,bot_adversarial,196,536,737,477,5,43233,1.0,446.3725440685008,321.94146340777843,0.0,bots_v1
21,0.104914,206,528,session_14,P09,bot_adversarial,196,536,737,477,5,43233,1.0,446.3725440685008,321.94146340777843,0.0,bots_v1
22,0.110189,206,527,session_14,P09,bot_adversarial,196,536,737,477,5,43233,1.0,446.3725440685008,321.94146340777843,0.0,bots_v1
